controller,value,date,time
BLOWER,0,2020-10-24,08:34:31
BLOWER,1,2020-10-24,08:39:31
BLOWER,1,2020-10-24,08:39:31
BLOWER,1,2020-10-24,08:39:31
BLOWER,0,2020-10-24,08:50:01
BLOWER,1,2020-10-24,08:57:01
BLOWER,0,2020-10-24,09:07:31
BLOWER,1,2020-10-24,09:25:31
BLOWER,0,2020-10-24,09:37:31
BLOWER,1,2020-10-24,09:42:01
BLOWER,1,2020-10-24,09:42:01
BLOWER,1,2020-10-24,09:42:01
BLOWER,0,2020-10-24,09:54:01
BLOWER,1,2020-10-24,09:58:31
BLOWER,0,2020-10-24,10:09:01
BLOWER,1,2020-10-24,10:11:31
BLOWER,0,2020-10-24,10:20:31
BLOWER,1,2020-10-25,02:37:01
BLOWER,0,2020-10-25,02:37:31
BLOWER,1,2020-10-25,02:39:31
BLOWER,0,2020-10-25,03:05:01
BLOWER,1,2020-10-25,03:05:31
BLOWER,0,2020-10-25,03:09:01
BLOWER,1,2020-10-25,03:09:31
BLOWER,0,2020-10-25,03:14:31
BLOWER,1,2020-10-25,03:15:01
BLOWER,0,2020-10-25,03:25:31
BLOWER,1,2020-10-25,03:26:01
BLOWER,0,2020-10-25,03:28:01
BLOWER,1,2020-10-25,03:28:31
BLOWER,1,2020-10-25,03:28:31
BLOWER,1,2020-10-25,03:28:31
BLOWER,0,2020-10-25,03:49:31
BLOWER,1,2020-10-25,03:50:01
BLOWER,0,2020-10-25,03:51:31
BLOWER,1,2020-10-25,03:52:01
BLOWER,0,2020-10-25,03:53:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,1,2020-10-25,03:57:31
BLOWER,0,2020-10-25,10:35:31
BLOWER,1,2020-10-26,02:23:01
BLOWER,0,2020-10-26,02:31:01
BLOWER,1,2020-10-26,02:37:01
BLOWER,0,2020-10-26,02:39:01
BLOWER,1,2020-10-26,02:41:01
BLOWER,0,2020-10-26,03:03:31
BLOWER,1,2020-10-26,03:04:31
BLOWER,0,2020-10-26,03:20:31
BLOWER,1,2020-10-26,03:21:01
BLOWER,1,2020-10-26,03:21:01
BLOWER,1,2020-10-26,03:21:01
BLOWER,1,2020-10-26,03:21:01
BLOWER,1,2020-10-26,03:21:01
BLOWER,0,2020-10-26,03:44:01
BLOWER,1,2020-10-26,03:54:31
BLOWER,0,2020-10-26,04:03:31
BLOWER,1,2020-10-26,04:04:01
BLOWER,0,2020-10-26,04:05:31
BLOWER,1,2020-10-26,04:14:31
BLOWER,0,2020-10-26,04:16:31
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,1,2020-10-26,04:19:01
BLOWER,0,2020-10-26,07:49:01
BLOWER,1,2020-10-26,07:50:01
BLOWER,1,2020-10-26,07:50:01
BLOWER,1,2020-10-26,07:50:01
BLOWER,0,2020-10-26,10:12:01
BLOWER,1,2020-10-27,03:54:01
BLOWER,0,2020-10-27,04:03:31
BLOWER,1,2020-10-27,04:21:31
BLOWER,0,2020-10-27,04:51:31
BLOWER,1,2020-10-27,05:09:31
BLOWER,1,2020-10-27,05:09:31
BLOWER,1,2020-10-27,05:09:31
BLOWER,0,2020-10-27,05:24:31
BLOWER,1,2020-10-27,05:28:31
BLOWER,0,2020-10-27,06:03:31
BLOWER,1,2020-10-27,06:24:01
BLOWER,0,2020-10-27,08:20:01
BLOWER,1,2020-10-27,08:48:31
BLOWER,0,2020-10-27,08:56:01
BLOWER,1,2020-10-27,08:59:01
BLOWER,0,2020-10-27,09:25:01
BLOWER,1,2020-10-28,03:01:31
BLOWER,0,2020-10-28,03:02:01
BLOWER,1,2020-10-28,03:05:01
